"","V1","V2"
"199","028-385-528-214-485","2"
"200","028-702-034-669-072","1"
"201","028-802-252-344-012","2"
"202","028-917-029-117-685","1"
"203","029-025-515-443-999","1"
"204","029-107-686-042-080","2"
"205","029-274-571-592-996","2"
"206","029-368-200-005-542","1"
"207","029-491-286-007-883","2"
"208","029-520-098-882-330","3"
"209","029-705-760-353-953","3"
"210","029-841-586-842-423","1"
"211","029-955-498-003-641","2"
"212","029-988-354-588-530","1"
"213","030-285-119-895-818","1"
"214","030-487-582-317-644","2"
"215","030-687-368-519-743","1"
"216","030-766-878-238-058","1"
"217","030-831-977-852-027","1"
"218","031-196-690-138-033","3"
"219","031-376-716-760-225","1"
"220","031-520-989-432-896","1"
"221","031-579-378-413-334","3"
"222","031-862-039-493-29X","1"
"223","031-987-261-230-852","3"
"224","032-043-084-866-144","3"
"225","032-309-609-339-669","4"
"226","032-673-637-913-382","3"
"227","032-684-270-374-661","2"
"228","032-991-953-185-288","3"
"229","033-597-612-507-059","1"
"230","033-615-320-643-67X","2"
"231","033-747-111-854-221","1"
"232","033-890-182-096-159","2"
"233","034-020-208-563-286","1"
"234","034-128-766-936-678","1"
"235","034-308-643-508-970","2"
"236","034-452-963-737-55X","1"
"237","034-662-603-831-951","1"
"238","034-678-503-527-14X","2"
"239","034-730-675-555-708","1"
"240","034-946-583-952-83X","2"
"241","035-022-540-156-186","2"
"242","035-051-432-999-701","1"
"243","035-331-375-703-965","2"
"244","035-691-308-793-277","3"
"245","035-826-622-559-02X","1"
"246","036-060-922-824-075","2"
"247","036-111-063-853-43X","1"
"248","036-164-148-520-238","1"
"249","036-180-871-084-631","2"
"250","036-192-238-397-024","1"
"251","036-259-010-837-779","1"
"252","036-456-610-975-852","2"
"253","036-556-226-795-548","1"
"254","036-580-328-251-04X","2"
"255","037-072-896-049-400","3"
"256","037-198-421-662-475","3"
"257","038-013-187-303-556","3"
"258","038-088-874-218-042","2"
"259","038-100-698-630-781","3"
"260","038-251-405-442-014","1"
"261","038-439-180-047-201","2"
"262","038-454-393-472-602","2"
"263","039-075-642-251-226","2"
"264","039-197-226-828-079","2"
"265","039-283-365-632-704","1"
"266","039-417-821-306-699","2"
"267","039-524-631-746-697","1"
"268","039-563-348-061-272","2"
"269","039-638-041-216-835","1"
"270","039-717-634-771-012","2"
"271","039-814-093-854-345","1"
"272","040-105-031-136-536","2"
"273","040-229-676-588-390","2"
"274","040-444-121-837-455","1"
"275","040-618-665-169-421","1"
"276","040-851-297-121-31X","2"
"277","040-853-795-062-454","2"
"278","041-265-324-990-41X","3"
"279","041-493-986-315-24X","2"
"280","041-504-744-182-764","2"
"281","041-679-397-425-833","1"
"282","041-708-671-710-160","1"
"283","041-833-491-485-587","2"
"284","042-123-887-818-501","3"
"285","042-303-914-852-499","3"
"286","042-635-223-353-392","1"
"287","042-705-630-037-945","3"
"288","042-765-344-128-744","3"
"289","042-841-462-224-835","3"
"290","043-009-269-441-396","1"
"291","043-320-672-388-224","2"
"292","043-663-463-772-769","1"
"293","043-721-262-316-102","1"
"294","043-819-346-205-923","1"
"295","043-937-727-904-530","2"
"296","043-964-279-521-117","2"
"297","044-059-709-481-060","3"
"298","044-148-764-290-288","3"
"299","044-327-313-877-518","2"
"300","044-478-555-661-785","3"
"301","044-526-529-402-476","1"
"302","044-623-321-549-254","1"
"303","044-679-967-186-088","2"
"304","044-750-571-884-583","2"
"305","044-982-906-041-039","2"
"306","045-020-182-383-672","2"
"307","045-125-518-534-181","2"
"308","045-190-006-343-278","2"
"309","045-455-587-148-315","1"
"310","045-981-249-151-693","1"
"311","046-274-423-739-761","2"
"312","046-446-501-703-050","2"
"313","046-706-622-716-331","1"
"314","046-726-236-405-904","1"
"315","046-962-971-580-754","1"
"316","047-022-834-071-036","1"
"317","047-306-688-458-21X","1"
"318","047-647-835-437-685","3"
"319","047-800-573-929-302","2"
"320","047-857-691-947-082","2"
"321","047-899-010-882-486","1"
"322","047-949-455-932-004","3"
"323","048-347-153-150-419","4"
"324","048-380-117-228-260","1"
"325","048-513-728-812-235","2"
"326","048-526-486-928-659","3"
"327","048-673-020-425-654","2"
"328","048-681-177-414-224","1"
"329","048-719-607-506-77X","2"
"330","048-829-675-003-899","3"
"331","048-841-915-674-723","1"
"332","048-890-097-592-179","3"
"333","049-107-058-177-588","2"
"334","049-533-144-778-162","1"
"335","049-758-838-988-452","1"
"336","050-229-016-868-066","1"
"337","050-261-844-716-21X","1"
"338","050-463-567-782-280","4"
"339","050-731-484-733-377","2"
"340","050-907-802-597-89X","1"
"341","050-919-262-884-000","2"
"342","051-197-969-663-775","1"
"343","051-328-307-098-313","3"
"344","051-932-900-528-821","1"
"345","052-121-834-684-873","2"
"346","052-320-986-023-291","2"
"347","052-494-986-045-941","1"
"348","052-589-530-283-548","2"
"349","052-683-738-705-384","3"
"350","052-704-024-326-104","4"
"351","053-056-666-649-486","1"
"352","053-067-368-571-602","2"
"353","053-181-881-442-026","2"
"354","053-451-836-636-97X","2"
"355","053-514-836-557-388","2"
"356","053-643-073-503-138","1"
"357","053-830-117-088-153","1"
"358","054-064-795-729-462","3"
"359","054-142-450-794-649","2"
"360","054-203-730-486-954","1"
"361","054-584-213-286-331","2"
"362","054-712-405-549-785","1"
"363","055-054-076-410-76X","1"
"364","055-083-398-263-398","3"
"365","055-192-571-710-917","2"
"366","055-290-465-789-317","2"
"367","055-946-607-021-418","1"
"368","056-244-188-471-763","1"
"369","056-419-455-186-425","2"
"370","056-448-774-024-709","2"
"371","056-572-672-082-930","2"
"372","056-585-869-238-25X","3"
"373","056-853-001-254-085","1"
"374","056-853-622-256-040","1"
"375","057-131-240-501-938","2"
"376","057-191-112-701-980","2"
"377","058-402-866-495-275","1"
"378","058-706-321-707-453","2"
"379","058-724-460-245-008","3"
"380","058-743-931-737-265","3"
"381","059-119-578-539-15X","1"
"382","059-361-082-177-816","3"
"383","059-472-939-527-494","2"
"384","059-502-071-789-055","1"
"385","059-614-004-166-874","1"
"386","059-627-658-158-630","1"
"387","059-659-793-850-220","3"
"388","059-697-593-739-189","2"
"389","059-726-400-628-520","2"
"390","059-851-177-532-034","1"
"391","059-886-928-764-718","2"
"392","060-303-879-790-212","1"
"393","061-017-051-481-03X","3"
"394","061-250-585-006-488","1"
"395","061-255-779-212-020","3"
"396","061-472-431-665-855","1"
"397","061-505-739-300-041","1"
"398","061-626-168-406-432","1"
"399","061-714-212-871-260","3"
"400","062-036-445-726-722","3"
"401","062-420-815-021-292","3"
"402","062-427-769-001-566","2"
"403","062-596-523-853-58X","1"
"404","062-652-638-839-909","2"
"405","062-925-650-162-284","2"
"406","063-149-977-873-288","1"
"407","063-662-089-786-933","1"
"408","064-251-428-456-286","1"
"409","064-261-486-295-168","2"
"410","064-285-198-867-260","1"
"411","064-297-474-959-451","1"
"412","064-675-123-853-466","2"
"413","064-876-657-317-407","2"
"414","064-893-774-544-494","3"
"415","065-544-803-132-001","3"
"416","065-717-158-017-31X","3"
"417","065-870-472-856-614","3"
"418","065-978-375-523-601","1"
"419","066-173-478-189-114","3"
"420","066-183-744-567-499","2"
"421","066-473-532-412-933","2"
"422","066-531-345-535-56X","2"
"423","066-675-844-981-559","3"
"424","066-727-776-146-130","2"
"425","066-806-618-413-681","2"
"426","066-882-160-758-008","1"
"427","067-011-083-064-581","2"
"428","067-070-378-841-691","1"
"429","067-221-882-826-226","2"
"430","067-656-049-341-942","2"
"431","067-727-839-082-24X","2"
"432","067-987-736-159-516","2"
"433","068-177-504-053-714","3"
"434","068-247-366-212-73X","2"
"435","068-442-297-719-812","2"
"436","068-567-084-277-634","1"
"437","068-617-156-096-270","1"
"438","068-669-359-350-27X","1"
"439","069-171-421-651-689","1"
"440","069-886-182-022-795","2"
"441","069-901-245-663-534","3"
"442","069-927-181-609-293","2"
"443","070-043-160-900-85X","1"
"444","070-127-552-184-475","2"
"445","070-129-859-863-682","2"
"446","070-142-965-217-664","2"
"447","070-204-847-316-814","2"
"448","070-239-213-610-528","1"
"449","070-553-270-107-879","1"
"450","070-767-640-313-826","3"
"451","070-816-613-195-842","2"
"452","070-830-030-975-776","1"
"453","071-167-876-727-598","2"
"454","071-190-552-848-022","2"
"455","071-511-859-224-147","3"
"456","071-601-864-758-089","1"
"457","071-736-214-634-517","2"
