"","V1","V2"
"199","029-025-515-443-999","3"
"200","029-107-686-042-080","2"
"201","029-274-571-592-996","2"
"202","029-368-200-005-542","3"
"203","029-491-286-007-883","2"
"204","029-520-098-882-330","3"
"205","029-705-760-353-953","4"
"206","029-841-586-842-423","1"
"207","029-955-498-003-641","2"
"208","029-988-354-588-530","3"
"209","030-285-119-895-818","3"
"210","030-487-582-317-644","2"
"211","030-687-368-519-743","3"
"212","030-766-878-238-058","3"
"213","030-831-977-852-027","1"
"214","031-196-690-138-033","4"
"215","031-376-716-760-225","3"
"216","031-520-989-432-896","1"
"217","031-579-378-413-334","4"
"218","031-862-039-493-29X","3"
"219","032-043-084-866-144","3"
"220","032-309-609-339-669","1"
"221","032-673-637-913-382","4"
"222","032-684-270-374-661","2"
"223","032-991-953-185-288","4"
"224","033-597-612-507-059","1"
"225","033-615-320-643-67X","2"
"226","033-747-111-854-221","4"
"227","033-890-182-096-159","2"
"228","034-020-208-563-286","3"
"229","034-128-766-936-678","3"
"230","034-308-643-508-970","2"
"231","034-452-963-737-55X","3"
"232","034-662-603-831-951","1"
"233","034-678-503-527-14X","2"
"234","034-730-675-555-708","1"
"235","034-946-583-952-83X","2"
"236","035-022-540-156-186","2"
"237","035-051-432-999-701","1"
"238","035-331-375-703-965","2"
"239","035-691-308-793-277","4"
"240","035-826-622-559-02X","3"
"241","036-060-922-824-075","2"
"242","036-111-063-853-43X","3"
"243","036-164-148-520-238","3"
"244","036-180-871-084-631","2"
"245","036-192-238-397-024","3"
"246","036-259-010-837-779","3"
"247","036-456-610-975-852","2"
"248","036-556-226-795-548","1"
"249","036-580-328-251-04X","2"
"250","037-072-896-049-400","3"
"251","037-198-421-662-475","4"
"252","038-013-187-303-556","3"
"253","038-088-874-218-042","2"
"254","038-100-698-630-781","4"
"255","038-251-405-442-014","1"
"256","038-439-180-047-201","2"
"257","038-454-393-472-602","2"
"258","039-075-642-251-226","2"
"259","039-197-226-828-079","2"
"260","039-283-365-632-704","3"
"261","039-417-821-306-699","2"
"262","039-524-631-746-697","1"
"263","039-563-348-061-272","2"
"264","039-638-041-216-835","3"
"265","039-717-634-771-012","2"
"266","039-814-093-854-345","3"
"267","040-105-031-136-536","2"
"268","040-229-676-588-390","2"
"269","040-444-121-837-455","1"
"270","040-618-665-169-421","1"
"271","040-851-297-121-31X","2"
"272","040-853-795-062-454","2"
"273","041-265-324-990-41X","4"
"274","041-493-986-315-24X","2"
"275","041-504-744-182-764","2"
"276","041-679-397-425-833","3"
"277","041-708-671-710-160","3"
"278","041-833-491-485-587","2"
"279","042-123-887-818-501","4"
"280","042-303-914-852-499","3"
"281","042-635-223-353-392","1"
"282","042-705-630-037-945","4"
"283","042-765-344-128-744","4"
"284","042-841-462-224-835","3"
"285","043-009-269-441-396","3"
"286","043-320-672-388-224","2"
"287","043-663-463-772-769","1"
"288","043-721-262-316-102","3"
"289","043-819-346-205-923","3"
"290","043-937-727-904-530","2"
"291","043-964-279-521-117","2"
"292","044-059-709-481-060","4"
"293","044-148-764-290-288","4"
"294","044-327-313-877-518","2"
"295","044-478-555-661-785","3"
"296","044-526-529-402-476","3"
"297","044-623-321-549-254","3"
"298","044-679-967-186-088","2"
"299","044-750-571-884-583","2"
"300","044-982-906-041-039","2"
"301","045-020-182-383-672","2"
"302","045-125-518-534-181","2"
"303","045-190-006-343-278","2"
"304","045-455-587-148-315","3"
"305","045-981-249-151-693","3"
"306","046-274-423-739-761","2"
"307","046-446-501-703-050","2"
"308","046-706-622-716-331","1"
"309","046-726-236-405-904","1"
"310","046-962-971-580-754","3"
"311","047-022-834-071-036","1"
"312","047-306-688-458-21X","2"
"313","047-647-835-437-685","4"
"314","047-800-573-929-302","2"
"315","047-857-691-947-082","2"
"316","047-899-010-882-486","3"
"317","047-949-455-932-004","4"
"318","048-347-153-150-419","1"
"319","048-380-117-228-260","3"
"320","048-513-728-812-235","2"
"321","048-526-486-928-659","3"
"322","048-673-020-425-654","2"
"323","048-681-177-414-224","1"
"324","048-719-607-506-77X","2"
"325","048-829-675-003-899","4"
"326","048-841-915-674-723","3"
"327","048-890-097-592-179","3"
"328","049-107-058-177-588","2"
"329","049-533-144-778-162","3"
"330","049-758-838-988-452","1"
"331","050-229-016-868-066","3"
"332","050-261-844-716-21X","3"
"333","050-463-567-782-280","1"
"334","050-731-484-733-377","2"
"335","050-907-802-597-89X","3"
"336","050-919-262-884-000","2"
"337","051-197-969-663-775","1"
"338","051-328-307-098-313","3"
"339","051-932-900-528-821","1"
